t,y1,y2
1.735785953177257568e+01,-1.205864390731094193e+00,2.298553915705883188e-01
1.745819397993311028e+01,-1.181930215657470473e+00,2.478342889038013530e-01
1.755852842809364489e+01,-1.155990227371450185e+00,2.700635914128195481e-01
1.765886287625417950e+01,-1.127538983747791823e+00,2.982408319091534032e-01
1.775919732441471766e+01,-1.095855606371326285e+00,3.350548262307563863e-01
1.785953177257525226e+01,-1.059868910625272997e+00,3.849826709346579889e-01
1.795986622073578687e+01,-1.017905441264572497e+00,4.559452028136543045e-01
1.806020066889632147e+01,-9.671828241464280884e-01,5.630476877042041028e-01
1.816053511705685608e+01,-9.026934165678981437e-01,7.379626527584780549e-01
1.826086956521739069e+01,-8.144411976757878202e-01,1.055779541110809960e+00
1.836120401337792529e+01,-6.794927293906467547e-01,1.725758670544629059e+00
1.846153846153846345e+01,-4.343523702064543968e-01,3.461854768548098704e+00
1.856187290969899806e+01,1.348977490004408808e-01,8.892528644208409716e+00
1.866220735785953266e+01,1.385417878203464737e+00,1.246980116203254951e+01
1.876254180602006727e+01,1.977109759012878110e+00,1.310477464221426525e+00
1.886287625418060188e+01,2.014285330284393716e+00,3.519699782760774324e-04
1.896321070234113648e+01,2.009737123716957008e+00,-6.293033124904082176e-02
1.906354515050167109e+01,2.003192690378599927e+00,-6.622199292701685946e-02
1.916387959866220925e+01,1.996519842430647618e+00,-6.672955593841801980e-02
1.926421404682274385e+01,1.989805346340570491e+00,-6.711085943441150170e-02
1.936454849498327846e+01,1.983052719167660793e+00,-6.749251950920287513e-02
1.946488294314381307e+01,1.976261468913990349e+00,-6.788092491458011524e-02
1.956521739130434767e+01,1.969430885305791357e+00,-6.827660989865752539e-02
1.966555183946488228e+01,1.962560225117796930e+00,-6.867982514672008043e-02
1.976588628762541688e+01,1.955648720517689343e+00,-6.909081697119763554e-02
1.986622073578595504e+01,1.948695578467364742e+00,-6.950984225675117811e-02
1.996655518394648965e+01,1.941699979537869769e+00,-6.993716990851035764e-02
2.006688963210702425e+01,1.934661076691495563e+00,-7.037308162553698732e-02
2.016722408026755886e+01,1.927577993959266101e+00,-7.081787269091675829e-02
2.026755852842809347e+01,1.920449825029728386e+00,-7.127185282793323251e-02
2.036789297658862807e+01,1.913275631737414439e+00,-7.173534712722375029e-02
2.046822742474916268e+01,1.906054442497413959e+00,-7.220869702914289867e-02
2.056856187290970084e+01,1.898785250599903218e+00,-7.269226139839203571e-02
2.066889632107023544e+01,1.891467012407800796e+00,-7.318641768043909757e-02
2.076923076923077005e+01,1.884098645428952112e+00,-7.369156315512280508e-02
2.086956521739130466e+01,1.876679026258624816e+00,-7.420811629415716149e-02
2.096989966555183926e+01,1.869206988380498258e+00,-7.473651823334122313e-02
2.107023411371237387e+01,1.861681319813593749e+00,-7.527723437133561346e-02
2.117056856187290848e+01,1.854100760591809172e+00,-7.583075610802111899e-02
2.127090301003344663e+01,1.846464000061880828e+00,-7.639760273671111768e-02
2.137123745819398124e+01,1.838769673983648323e+00,-7.697832350638512955e-02
2.147157190635451585e+01,1.831016361414157245e+00,-7.757349987301478955e-02
2.157190635451505045e+01,1.823202581353739804e+00,-7.818374796199151211e-02
2.167224080267558506e+01,1.815326789120722761e+00,-7.880972126842598902e-02
2.177257525083611966e+01,1.807387372481060739e+00,-7.945211359671519591e-02
2.187290969899665782e+01,1.799382647436641669e+00,-8.011166230911970221e-02
2.197324414715719243e+01,1.791310853649913160e+00,-8.078915190499613708e-02
2.207357859531772704e+01,1.783170149577048447e+00,-8.148541791691354952e-02
2.217391304347826164e+01,1.774958607066741134e+00,-8.220135128204839048e-02
